team_name,pts,fg3,fg2,fg,fg3a,fg2a,fg3p,fg2p,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,color,short_team_names,legend
Atlanta Hawks,15.176470588235293,4.2176470588235295,8.458823529411763,5.617647058823529,4.458823529411765,8.0,0.2737647058823529,0.5182941176470588,2.5176470588235293,3.211764705882353,0.7679999999999999,2.0,5.4411764705882355,7.447058823529411,2.9705882352941178,1.0941176470588236,1.0823529411764705,2.2411764705882353,#E03A3E,ATL,ATL - Atlanta Hawks
Boston Celtics,15.305882352941175,3.9000000000000004,9.058823529411764,5.835294117647059,3.9705882352941178,8.064705882352941,0.28394117647058825,0.5425294117647059,2.347058823529412,3.1,0.7687058823529411,1.588235294117647,5.9411764705882355,7.523529411764706,2.911764705882353,1.2588235294117647,1.1411764705882352,2.105882352941176,#007A33,BOS,BOS - Boston Celtics
Brooklyn Nets,14.73125,4.96875,7.5625,5.43125,4.95625,7.98125,0.2671875,0.481125,2.2,2.975,0.654875,1.48125,5.25625,6.73125,3.825,1.2562499999999999,0.58125,2.2125,#000000,BKN,BKN - Brooklyn Nets
Charlotte Hornets,14.046153846153846,4.107692307692307,7.63076923076923,5.184615384615385,4.107692307692307,7.538461538461538,0.29953846153846153,0.4989230769230769,2.3153846153846156,3.2615384615384615,0.7415384615384616,1.853846153846154,5.084615384615384,6.938461538461539,3.0,1.0384615384615385,0.5923076923076923,1.9307692307692308,#00788C,CHA,CHA - Charlotte Hornets
Chicago Bulls,16.25294117647059,5.135294117647058,8.870588235294118,6.158823529411765,5.223529411764706,8.117647058823529,0.2761764705882353,0.5391176470588235,2.2294117647058824,3.135294117647059,0.7141764705882353,2.2529411764705882,4.18235294117647,6.423529411764706,2.658823529411765,1.3823529411764706,0.6647058823529413,1.6647058823529413,#CE1141,CHI,CHI - Chicago Bulls
Cleveland Cavaliers,14.147058823529411,2.8058823529411763,8.435294117647059,5.158823529411765,3.711764705882353,7.852941176470588,0.24323529411764705,0.5149411764705882,2.911764705882353,3.5588235294117645,0.6376470588235295,1.6823529411764706,6.876470588235295,8.564705882352941,2.7411764705882353,1.6647058823529413,0.9176470588235294,2.376470588235294,#860038,CLE,CLE - Cleveland Cavaliers
Dallas Mavericks,15.264705882352942,5.223529411764706,7.811764705882354,5.670588235294118,4.688235294117647,9.647058823529411,0.30500000000000005,0.49288235294117644,2.176470588235294,2.8823529411764706,0.6825882352941176,1.588235294117647,5.070588235294117,6.652941176470588,3.0647058823529414,0.8411764705882353,0.7411764705882353,1.6470588235294117,#00538C,DAL,DAL - Dallas Mavericks
Denver Nuggets,15.9,4.34,9.04,5.953333333333333,4.2,8.54,0.31506666666666666,0.5340666666666666,2.5266666666666664,3.2666666666666666,0.7724,1.8733333333333335,5.326666666666667,7.2266666666666675,3.56,1.12,0.8200000000000001,1.8399999999999999,#0E2240,DEN,DEN - Denver Nuggets
Detroit Pistons,14.494117647058824,5.576470588235294,6.552941176470589,5.141176470588236,5.476470588235294,6.711764705882352,0.3154705882352941,0.45641176470588235,2.3529411764705883,3.4941176470588236,0.6451176470588236,1.0,3.905882352941177,4.8999999999999995,3.4529411764705884,0.8764705882352941,0.5823529411764706,1.9058823529411764,#C8102E,DET,DET - Detroit Pistons
Golden State Warriors,15.353846153846153,4.546153846153846,8.353846153846154,5.684615384615385,4.846153846153846,8.407692307692308,0.307,0.46923076923076923,2.4384615384615387,3.023076923076923,0.696076923076923,1.4615384615384615,4.753846153846154,6.207692307692308,4.246153846153846,1.3461538461538463,0.6076923076923078,2.576923076923077,#1D428A,GSW,GSW - Golden State Warriors
