name,full_name,position,weight,birth_date,birth_place,retired,teams,player_id,season,total_games,games_started,minutes_played,fg,fga,fgp,fg3,fg3a,fg3p,fg2,fg2a,fg2p,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pf,pts,team_name,height_inches
Alaa Abdelnaby,Alaa Abdelnaby,F-C,240.0,1968-06-24,"Cairo, Egypt",True,"[25, 2, 26, 17, 23]",1,1991-92,71.0,1.0,934.0,6.9,13.9,0.493,0.0,0.0,0.0,6.9,13.9,0.493,2.9,3.9,0.752,3.1,6.9,10.0,1.2,1.0,0.6,2.5,5.1,16.7,Retired,82
Alaa Abdelnaby,Alaa Abdelnaby,F-C,240.0,1968-06-24,"Cairo, Egypt",True,"[25, 2, 26, 17, 23]",1,1992-93,75.0,52.0,1311.0,6.7,13.0,0.518,0.0,0.0,0.0,6.7,13.0,0.519,2.4,3.2,0.759,3.5,5.8,9.3,0.7,0.7,0.7,2.7,5.2,15.9,Retired,82
Alaa Abdelnaby,Alaa Abdelnaby,F-C,240.0,1968-06-24,"Cairo, Egypt",True,"[25, 2, 26, 17, 23]",1,1990-91,43.0,0.0,290.0,6.8,14.4,0.474,0.0,0.0,0.0,6.8,14.4,0.474,3.1,5.5,0.568,3.4,7.7,11.0,1.5,0.5,1.5,2.7,4.8,16.8,Retired,82
Alaa Abdelnaby,Alaa Abdelnaby,F-C,240.0,1968-06-24,"Cairo, Egypt",True,"[25, 2, 26, 17, 23]",1,1994-95,54.0,0.0,506.0,8.4,16.4,0.511,0.0,0.1,0.0,8.4,16.3,0.515,1.4,2.5,0.571,2.6,5.5,8.1,0.9,1.1,0.9,3.2,7.4,18.2,Retired,82
Alaa Abdelnaby,Alaa Abdelnaby,F-C,240.0,1968-06-24,"Cairo, Egypt",True,"[25, 2, 26, 17, 23]",1,1993-94,13.0,0.0,159.0,5.4,12.5,0.436,0.0,0.0,0.0,5.4,12.5,0.436,3.6,5.7,0.64,2.7,7.7,10.4,0.7,0.5,0.7,3.8,4.5,14.5,Retired,82
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1988-89,74.0,74.0,1695.0,6.6,14.0,0.475,0.0,0.1,0.0,6.6,13.9,0.477,2.6,3.5,0.739,2.2,4.9,7.1,1.6,0.8,1.8,2.0,4.2,15.9,Retired,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1979-80,82.0,40.0,3143.0,9.6,15.8,0.604,0.0,0.0,0.0,9.6,15.8,0.604,4.2,5.5,0.765,2.2,8.0,10.1,4.2,0.9,3.2,3.4,2.5,23.3,Retired,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1984-85,79.0,79.0,2630.0,9.9,16.5,0.599,0.0,0.0,0.0,9.9,16.5,0.6,4.0,5.4,0.732,2.2,6.3,8.5,3.4,0.9,2.2,2.7,3.3,23.7,Retired,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1983-84,80.0,80.0,2622.0,9.8,17.0,0.578,0.0,0.0,0.0,9.8,17.0,0.579,3.9,5.4,0.723,2.3,5.7,8.1,2.9,0.8,2.0,3.0,2.9,23.6,Retired,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1980-81,80.0,39.0,2976.0,10.1,17.6,0.574,0.0,0.0,0.0,10.1,17.6,0.574,5.1,6.7,0.766,2.4,7.5,9.9,3.3,0.7,2.8,3.0,3.0,25.3,Retired,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1981-82,76.0,76.0,2677.0,10.1,17.5,0.579,0.0,0.0,0.0,10.1,17.5,0.58,4.2,5.9,0.706,2.3,6.5,8.9,3.0,0.8,2.8,3.1,3.0,24.4,Retired,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1982-83,79.0,79.0,2554.0,10.2,17.3,0.588,0.0,0.0,0.0,10.2,17.3,0.589,3.9,5.2,0.749,2.4,6.0,8.3,2.8,0.9,2.4,2.8,3.1,24.3,Retired,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1985-86,79.0,79.0,2629.0,10.3,18.3,0.564,0.0,0.0,0.0,10.3,18.3,0.565,4.6,6.0,0.765,1.8,4.7,6.5,3.8,0.9,1.8,2.8,3.4,25.3,Retired,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1986-87,78.0,78.0,2441.0,8.3,14.6,0.564,0.0,0.0,0.333,8.2,14.6,0.565,3.6,5.1,0.714,2.2,5.5,7.7,3.0,0.7,1.4,2.7,3.6,20.1,Retired,86
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,C,225.0,1947-04-16,"New York, New York",True,"[14, 17]",3,1987-88,80.0,80.0,2308.0,7.5,14.1,0.532,0.0,0.0,0.0,7.5,14.1,0.532,3.2,4.2,0.762,1.8,5.6,7.5,2.1,0.7,1.4,2.5,3.4,18.2,Retired,86
Mahmoud Abdul-Rauf,Mahmoud Abdul-Rauf,G,162.0,1969-03-09,"Gulfport, Mississippi",True,"[8, 26]",4,1993-94,80.0,78.0,2617.0,8.1,17.6,0.46,0.6,1.8,0.316,7.5,15.8,0.476,3.0,3.2,0.956,0.4,1.9,2.3,5.0,1.1,0.1,2.1,2.1,19.8,Retired,73
