name,team_name,weight,height_inches,birth_date,birth_place,teams,player_id,total_games,games_started,minutes_played,fg3,fg2,fg,fg3a,fg2a,fg3p,fg2p,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts
Alaa Abdelnaby,Retired,240.0,82.0,1968-06-24,"Cairo, Egypt","[25, 2, 26, 17, 23]",1,51.2,10.6,640.0,0.0,13.680000000000001,6.840000000000001,0.02,14.02,0.0,0.48739999999999994,2.68,4.16,0.658,3.06,6.720000000000001,9.76,1.0,0.76,0.8799999999999999,2.98,16.419999999999998
Kareem Abdul-Jabbar,Retired,225.0,86.0,1947-04-16,"New York, New York","[14, 17]",3,78.7,70.4,2567.5,0.0,18.46,9.24,0.01,16.259999999999998,0.0333,0.5665,3.9299999999999997,5.29,0.7421,2.18,6.07,8.26,3.01,0.8099999999999999,2.18,2.8,22.41
Mahmoud Abdul-Rauf,Retired,162.0,73.0,1969-03-09,"Gulfport, Mississippi","[8, 26]",4,65.11111111111111,37.333333333333336,1736.4444444444443,2.833333333333333,14.355555555555554,8.122222222222222,2.8333333333333335,15.722222222222221,0.3164444444444444,0.4583333333333333,2.1888888888888887,2.4555555555555557,0.8931111111111112,0.5111111111111111,1.9666666666666666,2.466666666666667,4.788888888888889,1.0666666666666669,0.1111111111111111,2.1333333333333333,19.38888888888889
Tariq Abdul-Wahad,Retired,223.0,78.0,1974-11-03,"Maisons Alfort, France","[26, 8, 22, 7]",5,39.333333333333336,24.166666666666668,801.1666666666666,0.44999999999999996,9.700000000000001,5.0,0.5166666666666667,11.5,0.2545,0.4206666666666667,2.2666666666666666,3.35,0.6548333333333333,2.1999999999999997,3.733333333333333,5.95,2.1999999999999997,1.3333333333333333,0.6666666666666666,2.1999999999999997,12.366666666666667
Shareef Abdur-Rahim,Retired,225.0,81.0,1976-12-11,"Marietta, Georgia","[1, 26, 25]",6,69.16666666666667,58.666666666666664,2406.8333333333335,0.525,12.35,6.333333333333333,0.5750000000000001,13.275,0.262,0.46075,4.75,5.816666666666666,0.8250833333333333,2.4583333333333335,5.141666666666667,7.633333333333333,2.6,0.9833333333333334,0.725,2.4833333333333334,17.616666666666667
Tom Abernethy,Retired,220.0,79.0,1954-05-06,"South Bend, Indiana","[10, 14, 12]",7,53.0,26.0,760.0,0.0,7.5,3.75,0.05,8.15,0.0,0.45699999999999996,1.6,2.55,0.637,2.1,3.5999999999999996,5.699999999999999,2.45,0.9,0.4,1.05,9.149999999999999
Álex Abrines,Retired,200.0,78.0,1993-08-01,"Palma de Mallorca, Spain",[],10,58.0,5.333333333333333,925.6666666666666,8.4,2.1999999999999997,3.9,7.733333333333333,2.4,0.36133333333333334,0.4563333333333333,1.1333333333333333,1.3333333333333333,0.8896666666666667,0.5666666666666668,2.5666666666666664,3.1333333333333333,1.1666666666666667,1.1666666666666667,0.3333333333333333,0.9333333333333335,11.733333333333334
Alex Acker,Retired,185.0,77.0,1983-01-21,"Compton, California","[13, 9]",11,15.0,0.0,117.0,3.4499999999999997,7.300000000000001,4.75,4.35,10.7,0.275,0.34199999999999997,0.45,0.9,0.25,1.2,3.5,4.699999999999999,3.15,0.95,0.35,2.6999999999999997,11.15
Mark Acres,Retired,220.0,83.0,1962-11-15,"Inglewood, California","[22, 2, 11]",13,62.5,11.333333333333334,997.0,0.15000000000000002,6.233333333333333,3.15,0.11666666666666665,6.1000000000000005,0.486,0.509,1.8,2.716666666666667,0.6626666666666666,3.516666666666666,5.6000000000000005,9.083333333333334,1.0166666666666666,0.8166666666666668,0.6166666666666667,1.45,8.166666666666666
Quincy Acy,Retired,240.0,79.0,1990-10-06,"Tyler, Texas","[26, 20, 28, 24, 7]",15,48.142857142857146,8.571428571428571,770.2857142857143,3.128571428571429,5.171428571428572,3.642857142857143,3.1999999999999997,5.071428571428571,0.3354285714285714,0.5168571428571428,2.1714285714285713,2.8857142857142857,0.7517142857142857,2.0714285714285716,5.785714285714286,7.8428571428571425,1.4857142857142858,0.9285714285714286,1.042857142857143,1.4428571428571428,10.485714285714286
Alvan Adams,Retired,210.0,81.0,1954-07-19,"Lawrence, Kansas",[],16,76.55555555555556,46.22222222222222,1999.0,0.0,14.044444444444444,7.022222222222222,0.011111111111111112,13.944444444444445,0.09255555555555556,0.5032222222222222,3.066666666666667,3.7666666666666666,0.8108888888888889,2.511111111111111,6.011111111111111,8.522222222222222,5.266666666666667,1.7444444444444445,0.9444444444444444,3.3444444444444446,17.144444444444446
