name,full_name,position,weight,birth_date,birth_place,retired,teams,player_id,season,total_games,games_started,minutes_played,fg,fga,fgp,fg2,fg2a,fg2p,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pf,pts,height_inches
Zaid Abdul-Aziz,Zaid Abdul-Aziz,C-F,235.0,1946-04-07,"Brooklyn, New York",True,"[11, 17, 2]",2,1976-77,22.0,,195.0,4.6,13.7,0.338,,,,6.1,7.9,0.767,7.6,9.0,16.6,1.3,0.6,1.7,,3.9,15.3,81
Zaid Abdul-Aziz,Zaid Abdul-Aziz,C-F,235.0,1946-04-07,"Brooklyn, New York",True,"[11, 17, 2]",2,1973-74,79.0,,2459.0,4.9,10.7,0.459,,,,2.8,3.5,0.804,3.8,9.7,13.5,2.4,1.2,1.5,,3.3,12.7,81
Zaid Abdul-Aziz,Zaid Abdul-Aziz,C-F,235.0,1946-04-07,"Brooklyn, New York",True,"[11, 17, 2]",2,1972-73,48.0,,900.0,6.0,15.0,0.397,,,,4.8,6.5,0.735,,,12.2,2.1,,,,4.3,16.7,81
Zaid Abdul-Aziz,Zaid Abdul-Aziz,C-F,235.0,1946-04-07,"Brooklyn, New York",True,"[11, 17, 2]",2,1977-78,16.0,,158.0,5.2,13.7,0.383,,,,3.9,5.2,0.739,4.3,7.1,11.4,2.3,0.7,0.7,3.2,6.6,14.4,81
Zaid Abdul-Aziz,Zaid Abdul-Aziz,C-F,235.0,1946-04-07,"Brooklyn, New York",True,"[11, 17, 2]",2,1969-70,80.0,,1637.0,5.2,12.0,0.434,,,,2.6,4.1,0.643,,,13.3,1.4,,,,3.7,13.0,81
Zaid Abdul-Aziz,Zaid Abdul-Aziz,C-F,235.0,1946-04-07,"Brooklyn, New York",True,"[11, 17, 2]",2,1970-71,61.0,,1276.0,7.4,16.8,0.441,,,,3.9,5.3,0.739,,,13.2,1.2,,,,3.3,18.8,81
Zaid Abdul-Aziz,Zaid Abdul-Aziz,C-F,235.0,1946-04-07,"Brooklyn, New York",True,"[11, 17, 2]",2,1971-72,58.0,,1780.0,6.5,15.2,0.429,,,,3.1,4.3,0.72,,,13.2,2.5,,,,3.6,16.1,81
Zaid Abdul-Aziz,Zaid Abdul-Aziz,C-F,235.0,1946-04-07,"Brooklyn, New York",True,"[11, 17, 2]",2,1975-76,27.0,,223.0,5.7,12.1,0.467,,,,2.6,4.7,0.552,4.8,7.4,12.3,2.6,1.3,2.4,,4.7,13.9,81
Zaid Abdul-Aziz,Zaid Abdul-Aziz,C-F,235.0,1946-04-07,"Brooklyn, New York",True,"[11, 17, 2]",2,1968-69,49.0,,945.0,5.5,14.9,0.369,,,,2.7,4.3,0.619,,,15.6,1.4,,,,4.4,13.6,81
Zaid Abdul-Aziz,Zaid Abdul-Aziz,C-F,235.0,1946-04-07,"Brooklyn, New York",True,"[11, 17, 2]",2,1974-75,65.0,,1450.0,5.8,13.4,0.437,,,,3.9,5.0,0.783,3.8,8.3,12.1,2.1,0.9,1.8,,3.2,15.6,81
